,uy_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,namiest,uezd,partof_id,
52,195,Kurmysh,курмыш,Nizjnij Novgorod,Russia,55.83336,46.07337,538665,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=58.316667&west=44.366667&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&south=50.316667&featureClass=P,geonames,синбирск,курмышск,30,
53,195,Kurmysh,курмыш,Tatarstan,Russia,54.43403,50.77101,538666,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=58.316667&west=44.366667&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&south=50.316667&featureClass=P,geonames,синбирск,курмышск,30,
54,195,Kurmyshi,курмыш,Chuvashia,Russia,55.98805,47.0592,538664,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=58.316667&west=44.366667&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&south=50.316667&featureClass=P,geonames,синбирск,курмышск,30,
55,195,Verkhniy Kurmysh,курмыш,Saratov,Russia,51.1,48.76667,474938,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=58.316667&west=44.366667&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&south=50.316667&featureClass=P,geonames,синбирск,курмышск,30,
56,197,not_found,роченск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=51.5689&west=33.5563&east=38.2875&name=%D1%80%D0%BE%D1%87%D0%B5%D0%BD%D1%81%D0%BA&south=48.4869&featureClass=P,geonames,харьковск,роченск,37,
57,197,not_found,рочен,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=51.5689&west=33.5563&east=38.2875&name=%D1%80%D0%BE%D1%87%D0%B5%D0%BD&south=48.4869&featureClass=P,geonames,харьковск,роченск,37,
58,198,not_found,сумск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=51.5689&west=33.5563&east=38.2875&name=%D1%81%D1%83%D0%BC%D1%81%D0%BA&south=48.4869&featureClass=P,geonames,харьковск,сумск,37,
59,198,Sum’skoy,сум,Belgorod,Russia,50.62429,36.37693,808092,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=51.5689&west=33.5563&east=38.2875&name=%D1%81%D1%83%D0%BC&south=48.4869&featureClass=P,geonames,харьковск,сумск,37,
60,200,not_found,ваг,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=78.0&west=24.8&east=180&name=%D0%B2%D0%B0%D0%B3&south=38.6&featureClass=P,geonames,нот_ин_теxт,ваг,0,
61,202,not_found,зубцовск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=60.857828&west=31.921928&east=39.921928&name=%D0%B7%D1%83%D0%B1%D1%86%D0%BE%D0%B2%D1%81%D0%BA&south=52.857828&featureClass=P,geonames,тверск,зубцовск,33,
62,202,Zubtsov,зубцов,Tverskaya,Russia,56.17534,34.58935,462008,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=60.857828&west=31.921928&east=39.921928&name=%D0%B7%D1%83%D0%B1%D1%86%D0%BE%D0%B2&south=52.857828&featureClass=P,geonames,тверск,зубцовск,33,
