name,lng,lat,beg,end,text
Михайловка,35.96695,49.22603,1788-09-19,1788-09-19,Сентября 8
Михайловка,35.96695,49.22603,1788-05-21,1788-05-21,Преполовения
Волоколамск,35.96944,56.03361,1788-07-10,1788-07-10,Июня 29
Волоколамск,35.96944,56.03361,1788-06-19,1788-06-19,Июня 8
Волоколамск,35.96944,56.03361,1788-08-26,1788-08-26,Августа 15
Волоколамск,35.96944,56.03361,1788-09-19,1788-09-19,Сентября 8
Волоколамск,35.96944,56.03361,1788-08-30,1788-08-30,Августа 19
Волоколамск,35.96944,56.03361,1788-05-20,1788-05-20,Мая 9
Волоколамск,35.96944,56.03361,1788-07-31,1788-07-31,Июля 20
Волоколамск,35.96944,56.03361,1788-10-06,1788-10-06,Сентября 25
Волоколамск,35.96944,56.03361,1788-12-02,1788-12-02,Ноября 21
Волоколамск,35.96944,56.03361,1788-06-15,1788-06-15,Пятидесятницы
Волоколамск,35.96944,56.03361,1788-07-04,1788-07-04,десятую пятницу
Борисов,36.015939,55.429097,1788-09-24,1788-09-24,13 Сентября
Можайск,36.02722,55.50194,1788-07-10,1788-07-10,Июня 29
Тихонова,36.15534,54.63884,1788-06-29,1788-06-29,Июня 18
Перемышль,36.16063,54.26313,1788-07-04,1788-07-04,десятую пятницу
Верея,36.17194,55.34472,1788-07-04,1788-07-04,Июня 23
Руза,36.19522,55.69898,1788-07-10,1788-07-10,Июня 29
Руза,36.19522,55.69898,1788-03-03,1788-03-09,Сырной неделе
Томаровка,36.23309,50.68338,1788-05-20,1788-05-20,Мая 9
Томаровка,36.23309,50.68338,1788-07-19,1788-07-19,Июля 8
Томаровка,36.23309,50.68338,1788-12-17,1788-12-17,Декабря 6
Томаровка,36.23309,50.68338,1788-02-17,1788-02-23,всеедной неделе
Обоянь,36.27919,51.20981,1788-08-12,1788-08-12,Августа 1
Обоянь,36.27919,51.20981,1788-09-19,1788-09-19,Сентября 8
Обоянь,36.27919,51.20981,1788-12-17,1788-12-17,Декабря 6
Обоянь,36.27919,51.20981,1788-05-21,1788-05-21,Преполовения
Обоянь,36.27919,51.20981,1788-03-03,1788-03-09,Сырной неделе
Вытегра,36.44811,61.00636,1788-05-20,1788-05-20,9 Мая
Вытегра,36.44811,61.00636,1788-02-13,1788-02-13,Февраля 2
Вытегра,36.44811,61.00636,1788-08-27,1788-08-27,Августа 16
Вытегра,36.44811,61.00636,1788-10-12,1788-10-12,Октября 1
Протопопова,36.46653,52.92251,1788-05-20,1788-05-20,Мая 9
Протопопова,36.46653,52.92251,1788-12-17,1788-12-17,Николая
Протопопова,36.46653,52.92251,1788-06-22,1788-06-22,Троицы
Малой Ярославец,36.47185,55.01457,1788-05-04,1788-05-04,Апреля 23
Малой Ярославец,36.47185,55.01457,1788-05-20,1788-05-20,Мая 9
Малой Ярославец,36.47185,55.01457,1788-12-07,1788-12-07,Ноября 26
Малой Ярославец,36.47185,55.01457,1788-12-17,1788-12-17,Декабря 6
Малой Ярославец,36.47185,55.01457,1788-07-04,1788-07-04,десятую пятницу
Боровск,36.48611,55.20639,1788-09-19,1788-09-19,8 числа Сентября
Боровск,36.48611,55.20639,1788-07-04,1788-07-04,десятую пятницу
Пудога,36.5277,61.80415,1788-12-17,1788-12-17,Декабря 6
Белгород,36.58015,50.61074,1788-08-26,1788-08-26,Успения
Белгород,36.58015,50.61074,1788-07-10,1788-07-10,Петра и Павла
Белгород,36.58015,50.61074,1788-07-04,1788-07-04,десятую пятницу
Андреевка,36.6196,49.53601,1788-07-31,1788-07-31,Июля 20
Андреевка,36.6196,49.53601,1788-11-06,1788-11-06,Октября 26
Чугуев,36.68803,49.83588,1788-08-17,1788-08-17,Преображения
Бежецк,36.69651,57.78506,1788-07-16,1788-07-16,5 Июля
Троицкое,36.71667,56.2,1788-06-22,1788-06-22,Троицы
Звенигород,36.85918,55.73402,1788-07-04,1788-07-04,десятой пятнице
Щигры,36.90432,51.87555,1788-06-22,1788-06-22,Троицы
Чернь,36.9145,53.45232,1788-06-22,1788-06-22,Троицком
Печенеги,36.93472,49.87167,1788-08-17,1788-08-17,Августа 6
Печенеги,36.93472,49.87167,1788-11-08,1788-11-08,Октября 28
Печенеги,36.93472,49.87167,1788-02-17,1788-02-23,Всеедной неделе
Печенеги,36.93472,49.87167,1788-06-05,1788-06-05,Вознесения
Ивановское,36.95972,55.92667,1788-07-19,1788-07-19,Июля 8
Рожественское,36.975171,53.668498,1788-10-02,1788-10-02,21 Сентября
Задушное,36.98756,52.98556,1788-06-15,1788-06-15,Сошествия Святого Духа
Новосиль,37.04048,52.97387,1788-05-21,1788-05-21,Преполовения
Алексин,37.0674,54.50503,1788-07-12,1788-07-12,Июля 1
Алексин,37.0674,54.50503,1788-09-09,1788-09-09,Августа 29
Тим,37.12444,51.62222,1788-07-11,1788-07-11,одинадцатую пятницу
Тим,37.12444,51.62222,1788-09-19,1788-09-19,Рождества Богородицы
Крапивна,37.15744,53.94234,1788-07-12,1788-07-12,Июля 1
Крапивна,37.15744,53.94234,1788-06-15,1788-06-15,Сошествия Святого Духа
Таруса,37.17272,54.72436,1788-07-10,1788-07-10,Петра и Павла
Кароча,37.18598,50.8132,1788-07-19,1788-07-19,Июля 8
Кароча,37.18598,50.8132,1788-12-17,1788-12-17,Николин|Николин
Кароча,37.18598,50.8132,1788-09-19,1788-09-19,Рождества Богородицы
Кароча,37.18598,50.8132,1788-01-12,1788-01-12,Новой год
Раменье,37.21667,56.56667,1788-09-29,1788-09-29,18 Сентября
Раменье,37.21667,56.56667,1788-07-05,1788-07-05,Июня 24
Изюм,37.24848,49.20875,1788-07-05,1788-07-05,Июня 24
Изюм,37.24848,49.20875,1788-09-25,1788-09-25,Сентября 14
Изюм,37.24848,49.20875,1788-11-06,1788-11-06,Октября 26
Изюм,37.24848,49.20875,1788-05-21,1788-05-21,Преполовения
Весиегонск,37.2604,58.66398,1788-01-17,1788-01-17,Богоявления
Серпухов,37.41114,54.91578,1788-09-26,1788-09-26,Сентября  15
Серпухов,37.41114,54.91578,1788-07-04,1788-07-04,десятой пятнице
